id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
160,"Doyle, John",Male,1797–1868,1797,1868,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/john-doyle-160
2424,"Doyle, Richard",Male,1824–1883,1824,1883,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/richard-doyle-2424
1029,"Draper, Herbert",Male,1863–1920,1863,1920,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/herbert-draper-1029
161,"Dressler, Conrad",Male,1856–1940,1856,1940,"London, United Kingdom","Loire, France",http://www.tate.org.uk/art/artists/conrad-dressler-161
1030,"Drever, Timothy",Male,born 1935,1935,,"England, United Kingdom",,http://www.tate.org.uk/art/artists/timothy-drever-1030
17320,"Drew, Leonardo",Male,born 1961,1961,,"Tallahassee, United States",,http://www.tate.org.uk/art/artists/leonardo-drew-17320
1031,"Droungas, Achilles",Male,born 1940,1940,,"Piraiévs, Ellás",,http://www.tate.org.uk/art/artists/achilles-droungas-1031
8089,"Drtikol, František",Male,1883–1961,1883,1961,"Príbram, Ceská Republika","Praha, Ceská Republika",http://www.tate.org.uk/art/artists/frantisek-drtikol-8089
1032,"Drummond, Malcolm",Male,1880–1945,1880,1945,"Berkshire, United Kingdom",,http://www.tate.org.uk/art/artists/malcolm-drummond-1032
163,"Drury, Alfred",Male,1856–1944,1856,1944,"London, United Kingdom","Wimbledon, United Kingdom",http://www.tate.org.uk/art/artists/alfred-drury-163
1033,"Drysdale, Russell",Male,1912–1981,1912,1981,"Bognor Regis, United Kingdom","Sydney, Australia",http://www.tate.org.uk/art/artists/russell-drysdale-1033
2679,"Du Bois, Simon",Male,1632–1708,1632,1708,"Antwerpen, België","London, United Kingdom",http://www.tate.org.uk/art/artists/simon-du-bois-2679
1034,"Dubsky, Mario",Male,1939–1985,1939,1985,"London, United Kingdom",,http://www.tate.org.uk/art/artists/mario-dubsky-1034
1035,"Dubuffet, Jean",Male,1901–1985,1901,1985,"Le Havre, France","Paris, France",http://www.tate.org.uk/art/artists/jean-dubuffet-1035
1036,"Duchamp, Marcel",Male,1887–1968,1887,1968,"Blainville-Crevon, France","Neuilly-sur-Seine, France",http://www.tate.org.uk/art/artists/marcel-duchamp-1036
1037,"Duchamp-Villon, Raymond",Male,1876–1918,1876,1918,"Damville, France","Cannes, France",http://www.tate.org.uk/art/artists/raymond-duchamp-villon-1037
1045,"Dufresne, Charles",Male,1876–1938,1876,1938,"Millemont, France","La Seyne-sur-Mer, France",http://www.tate.org.uk/art/artists/charles-dufresne-1045
1038,"Dufy, Raoul",Male,1877–1953,1877,1953,"Le Havre, France","Forcalquier, France",http://www.tate.org.uk/art/artists/raoul-dufy-1038
1039,"Dugdale, Thomas",Male,1880–1952,1880,1952,"Blackburn, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-dugdale-1039
1040,"Dugger, John",Male,born 1948,1948,,"Bellflower, United States",,http://www.tate.org.uk/art/artists/john-dugger-1040
12074,"Dughet, Gaspard",,1615–1675,1615,1675,,,http://www.tate.org.uk/art/artists/gaspard-dughet-12074
2407,"Dumas, Marlene",Female,born 1953,1953,,"Cape Town, South Africa",,http://www.tate.org.uk/art/artists/marlene-dumas-2407
1041,"Dunbar, Evelyn",Female,1906–1960,1906,1960,"Reading, United Kingdom","Kent, United Kingdom",http://www.tate.org.uk/art/artists/evelyn-dunbar-1041
2284,"Duncombe, Susanna",Female,1725–1812,1725,1812,,"London, United Kingdom",http://www.tate.org.uk/art/artists/susanna-duncombe-nee-susanna-highmore-2284
2279,"Dunham, Carroll",Male,born 1949,1949,,"Old Lyme, United States",,http://www.tate.org.uk/art/artists/carroll-dunham-2279
2619,"Dunker, Balthazar Anton",Male,,1746,1807,"Saal, Deutschland","Berne, Deutschland",http://www.tate.org.uk/art/artists/balthazar-anton-dunker-2619
1042,"Dunlop, Ronald Ossory",Male,1894–1973,1894,1973,"London, United Kingdom",,http://www.tate.org.uk/art/artists/ronald-ossory-dunlop-1042
